timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686256503843,592,HTTP Request,200,OK,Thread-Group-weighted-10 1-2,text,true,,148,133,7,7,http://127.0.0.1:31113/fibo-weighted,592,0,0
1686256503743,746,HTTP Request,200,OK,Thread-Group-weighted-10 1-1,text,true,,148,133,8,8,http://127.0.0.1:31113/fibo-weighted,746,0,0
1686256503942,575,HTTP Request,200,OK,Thread-Group-weighted-10 1-3,text,true,,148,133,8,8,http://127.0.0.1:31113/fibo-weighted,575,0,1
1686256504247,444,HTTP Request,200,OK,Thread-Group-weighted-10 1-6,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,444,0,0
1686256504043,738,HTTP Request,200,OK,Thread-Group-weighted-10 1-4,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,738,0,1
1686256504436,529,HTTP Request,200,OK,Thread-Group-weighted-10 1-2,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,529,0,0
1686256504143,1002,HTTP Request,200,OK,Thread-Group-weighted-10 1-5,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,1002,0,1
1686256504443,765,HTTP Request,200,OK,Thread-Group-weighted-10 1-8,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,765,0,0
1686256504691,574,HTTP Request,200,OK,Thread-Group-weighted-10 1-6,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,574,0,1
1686256504644,695,HTTP Request,200,OK,Thread-Group-weighted-10 1-10,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,695,0,0
1686256504489,896,HTTP Request,200,OK,Thread-Group-weighted-10 1-1,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,896,0,1
1686256504343,1193,HTTP Request,200,OK,Thread-Group-weighted-10 1-7,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,1192,0,1
1686256504517,1052,HTTP Request,200,OK,Thread-Group-weighted-10 1-3,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,1051,0,0
1686256504545,1044,HTTP Request,200,OK,Thread-Group-weighted-10 1-9,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,1044,0,0
1686256504782,933,HTTP Request,200,OK,Thread-Group-weighted-10 1-4,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,933,0,0
1686256504966,877,HTTP Request,200,OK,Thread-Group-weighted-10 1-2,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,877,0,0
1686256505266,747,HTTP Request,200,OK,Thread-Group-weighted-10 1-6,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,747,0,0
1686256505145,874,HTTP Request,200,OK,Thread-Group-weighted-10 1-5,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,874,0,1
1686256505339,692,HTTP Request,200,OK,Thread-Group-weighted-10 1-10,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,691,0,1
1686256505385,855,HTTP Request,200,OK,Thread-Group-weighted-10 1-1,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,854,0,1
1686256505208,1092,HTTP Request,200,OK,Thread-Group-weighted-10 1-8,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,1092,0,1
1686256505536,772,HTTP Request,200,OK,Thread-Group-weighted-10 1-7,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,771,0,1
1686256505589,1015,HTTP Request,200,OK,Thread-Group-weighted-10 1-9,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,1015,0,0
1686256506031,662,HTTP Request,200,OK,Thread-Group-weighted-10 1-10,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,662,0,0
1686256506240,526,HTTP Request,200,OK,Thread-Group-weighted-10 1-1,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,526,0,0
1686256505715,1052,HTTP Request,200,OK,Thread-Group-weighted-10 1-4,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,1052,0,1
1686256506019,749,HTTP Request,200,OK,Thread-Group-weighted-10 1-5,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,748,0,1
1686256505569,1199,HTTP Request,200,OK,Thread-Group-weighted-10 1-3,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,1198,0,0
1686256505843,1081,HTTP Request,200,OK,Thread-Group-weighted-10 1-2,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,1080,0,1
1686256506300,664,HTTP Request,200,OK,Thread-Group-weighted-10 1-8,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,664,0,1
1686256506308,684,HTTP Request,200,OK,Thread-Group-weighted-10 1-7,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,683,0,0
1686256506013,984,HTTP Request,200,OK,Thread-Group-weighted-10 1-6,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,984,0,1
1686256506604,603,HTTP Request,200,OK,Thread-Group-weighted-10 1-9,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,602,0,1
1686256506767,635,HTTP Request,200,OK,Thread-Group-weighted-10 1-4,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,635,0,0
1686256506768,670,HTTP Request,200,OK,Thread-Group-weighted-10 1-3,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,670,0,1
1686256506693,847,HTTP Request,200,OK,Thread-Group-weighted-10 1-10,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,847,0,1
1686256506768,944,HTTP Request,200,OK,Thread-Group-weighted-10 1-5,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,944,0,0
1686256506964,748,HTTP Request,200,OK,Thread-Group-weighted-10 1-8,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,748,0,0
1686256506766,950,HTTP Request,200,OK,Thread-Group-weighted-10 1-1,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,947,0,1
1686256506992,751,HTTP Request,200,OK,Thread-Group-weighted-10 1-7,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,751,0,0
1686256507207,574,HTTP Request,200,OK,Thread-Group-weighted-10 1-9,text,true,,148,133,10,10,http://127.0.0.1:31113/fibo-weighted,573,0,0
