"Time","sum(kube_deployment_spec_replicas{namespace=""openfaas-fn""})"
2023-05-25 02:25:15,10
2023-05-25 02:25:30,46
2023-05-25 02:25:45,46
2023-05-25 02:26:00,46
2023-05-25 02:26:15,46
2023-05-25 02:26:30,48
2023-05-25 02:26:45,48
2023-05-25 02:27:00,48
2023-05-25 02:27:15,48
2023-05-25 02:27:30,47
2023-05-25 02:27:45,47
2023-05-25 02:28:00,47
2023-05-25 02:28:15,47
2023-05-25 02:28:30,48
2023-05-25 02:28:45,48
2023-05-25 02:29:00,48
2023-05-25 02:29:15,48
2023-05-25 02:29:30,48
2023-05-25 02:29:45,48
2023-05-25 02:30:00,48
2023-05-25 02:30:15,48
2023-05-25 02:30:30,47
2023-05-25 02:30:45,47
2023-05-25 02:31:00,47
2023-05-25 02:31:15,47
2023-05-25 02:31:30,47
2023-05-25 02:31:45,47
2023-05-25 02:32:00,47
2023-05-25 02:32:15,47
2023-05-25 02:32:30,46
2023-05-25 02:32:45,46
2023-05-25 02:33:00,46
2023-05-25 02:33:15,46
2023-05-25 02:33:30,46
2023-05-25 02:33:45,46
2023-05-25 02:34:00,46
2023-05-25 02:34:15,46
2023-05-25 02:34:30,47
2023-05-25 02:34:45,47
2023-05-25 02:35:00,47
2023-05-25 02:35:15,47
2023-05-25 02:35:30,47
2023-05-25 02:35:45,47
2023-05-25 02:36:00,47
2023-05-25 02:36:15,47
2023-05-25 02:36:30,47
2023-05-25 02:36:45,47
2023-05-25 02:37:00,47
2023-05-25 02:37:15,47
2023-05-25 02:37:30,47
2023-05-25 02:37:45,47
2023-05-25 02:38:00,47
2023-05-25 02:38:15,47
2023-05-25 02:38:30,48
2023-05-25 02:38:45,48
2023-05-25 02:39:00,48
2023-05-25 02:39:15,48
2023-05-25 02:39:30,47
2023-05-25 02:39:45,47
2023-05-25 02:40:00,47
2023-05-25 02:40:15,47
2023-05-25 02:40:30,48
2023-05-25 02:40:45,48
2023-05-25 02:41:00,48
2023-05-25 02:41:15,48
2023-05-25 02:41:30,48
2023-05-25 02:41:45,48
2023-05-25 02:42:00,48
2023-05-25 02:42:15,48
2023-05-25 02:42:30,48
2023-05-25 02:42:45,48
2023-05-25 02:43:00,48
2023-05-25 02:43:15,48
2023-05-25 02:43:30,48
2023-05-25 02:43:45,48
2023-05-25 02:44:00,48
2023-05-25 02:44:15,48
2023-05-25 02:44:30,44
2023-05-25 02:44:45,44
2023-05-25 02:45:00,44
2023-05-25 02:45:15,44
2023-05-25 02:45:30,34

