timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686347774703,543,HTTP Request,200,OK,Thread-Group-default-30 1-1,text,true,,148,132,17,17,http://127.0.0.1:31113/fibo-default,543,0,0
1686347774801,559,HTTP Request,200,OK,Thread-Group-default-30 1-4,text,true,,148,132,20,20,http://127.0.0.1:31113/fibo-default,558,0,0
1686347774768,620,HTTP Request,200,OK,Thread-Group-default-30 1-3,text,true,,148,132,21,21,http://127.0.0.1:31113/fibo-default,619,0,1
1686347774867,739,HTTP Request,200,OK,Thread-Group-default-30 1-6,text,true,,148,132,28,28,http://127.0.0.1:31113/fibo-default,739,0,0
1686347775065,699,HTTP Request,200,OK,Thread-Group-default-30 1-12,text,true,,149,132,30,30,http://127.0.0.1:31113/fibo-default,699,0,0
1686347774735,1052,HTTP Request,200,OK,Thread-Group-default-30 1-2,text,true,,148,132,30,30,http://127.0.0.1:31113/fibo-default,1051,0,0
1686347774936,924,HTTP Request,200,OK,Thread-Group-default-30 1-8,text,true,,148,132,30,30,http://127.0.0.1:31113/fibo-default,923,0,1
1686347774907,1059,HTTP Request,200,OK,Thread-Group-default-30 1-7,text,true,,148,132,30,30,http://127.0.0.1:31113/fibo-default,1058,0,0
1686347775164,802,HTTP Request,200,OK,Thread-Group-default-30 1-15,text,true,,148,132,30,30,http://127.0.0.1:31113/fibo-default,802,0,0
1686347775098,870,HTTP Request,200,OK,Thread-Group-default-30 1-13,text,true,,148,132,30,30,http://127.0.0.1:31113/fibo-default,869,0,0
1686347774834,1206,HTTP Request,200,OK,Thread-Group-default-30 1-5,text,true,,148,132,30,30,http://127.0.0.1:31113/fibo-default,1206,0,0
1686347774968,1089,HTTP Request,200,OK,Thread-Group-default-30 1-9,text,true,,148,132,30,30,http://127.0.0.1:31113/fibo-default,1089,0,0
1686347775362,705,HTTP Request,200,OK,Thread-Group-default-30 1-21,text,true,,149,132,30,30,http://127.0.0.1:31113/fibo-default,704,0,0
1686347775361,810,HTTP Request,200,OK,Thread-Group-default-30 1-4,text,true,,149,132,30,30,http://127.0.0.1:31113/fibo-default,810,0,1
1686347775131,1058,HTTP Request,200,OK,Thread-Group-default-30 1-14,text,true,,148,132,30,30,http://127.0.0.1:31113/fibo-default,1057,0,1
1686347775001,1192,HTTP Request,200,OK,Thread-Group-default-30 1-10,text,true,,149,132,30,30,http://127.0.0.1:31113/fibo-default,1192,0,0
1686347775428,771,HTTP Request,200,OK,Thread-Group-default-30 1-23,text,true,,148,132,30,30,http://127.0.0.1:31113/fibo-default,770,0,1
1686347775461,739,HTTP Request,200,OK,Thread-Group-default-30 1-24,text,true,,148,132,30,30,http://127.0.0.1:31113/fibo-default,739,0,0
1686347775247,968,HTTP Request,200,OK,Thread-Group-default-30 1-1,text,true,,148,132,30,30,http://127.0.0.1:31113/fibo-default,967,0,0
1686347775330,917,HTTP Request,200,OK,Thread-Group-default-30 1-20,text,true,,148,132,30,30,http://127.0.0.1:31113/fibo-default,917,0,0
1686347775593,811,HTTP Request,200,OK,Thread-Group-default-30 1-28,text,true,,148,132,30,30,http://127.0.0.1:31113/fibo-default,810,0,0
1686347775660,758,HTTP Request,200,OK,Thread-Group-default-30 1-30,text,true,,149,132,30,30,http://127.0.0.1:31113/fibo-default,757,0,0
1686347775033,1386,HTTP Request,200,OK,Thread-Group-default-30 1-11,text,true,,149,132,30,30,http://127.0.0.1:31113/fibo-default,1385,0,0
1686347775494,927,HTTP Request,200,OK,Thread-Group-default-30 1-25,text,true,,148,132,30,30,http://127.0.0.1:31113/fibo-default,924,0,0
