timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686169165185,2268,HTTP Request,200,OK,Thread-Group-random-10-60 1-4,text,true,,148,131,60,60,http://127.0.0.1:31113/fibo-random,2268,0,0
1686169165490,1964,HTTP Request,200,OK,Thread-Group-random-10-60 1-22,text,true,,148,131,60,60,http://127.0.0.1:31113/fibo-random,1963,0,1
1686169165916,1559,HTTP Request,200,OK,Thread-Group-random-10-60 1-47,text,true,,148,131,60,60,http://127.0.0.1:31113/fibo-random,1558,0,1
1686169165373,2133,HTTP Request,200,OK,Thread-Group-random-10-60 1-15,text,true,,148,131,60,60,http://127.0.0.1:31113/fibo-random,2131,0,0
1686169165677,1830,HTTP Request,200,OK,Thread-Group-random-10-60 1-33,text,true,,148,131,60,60,http://127.0.0.1:31113/fibo-random,1830,0,1
1686169165238,2359,HTTP Request,200,OK,Thread-Group-random-10-60 1-7,text,true,,148,131,60,60,http://127.0.0.1:31113/fibo-random,2359,0,0
1686169165865,1774,HTTP Request,200,OK,Thread-Group-random-10-60 1-44,text,true,,148,131,60,60,http://127.0.0.1:31113/fibo-random,1774,0,0
1686169165814,1841,HTTP Request,200,OK,Thread-Group-random-10-60 1-41,text,true,,148,131,60,60,http://127.0.0.1:31113/fibo-random,1840,0,1
1686169165746,2524,HTTP Request,200,OK,Thread-Group-random-10-60 1-37,text,true,,148,131,60,60,http://127.0.0.1:31113/fibo-random,2524,0,0
1686169165627,2694,HTTP Request,200,OK,Thread-Group-random-10-60 1-30,text,true,,148,131,60,60,http://127.0.0.1:31113/fibo-random,2694,0,0
1686169165846,2500,HTTP Request,200,OK,Thread-Group-random-10-60 1-43,text,true,,148,131,60,60,http://127.0.0.1:31113/fibo-random,2499,0,1
1686169165167,3180,HTTP Request,200,OK,Thread-Group-random-10-60 1-3,text,true,,148,131,60,60,http://127.0.0.1:31113/fibo-random,3179,0,1
1686169165269,3089,HTTP Request,200,OK,Thread-Group-random-10-60 1-9,text,true,,148,131,60,60,http://127.0.0.1:31113/fibo-random,3089,0,0
1686169165354,3010,HTTP Request,200,OK,Thread-Group-random-10-60 1-14,text,true,,148,131,60,60,http://127.0.0.1:31113/fibo-random,3009,0,1
1686169166002,2363,HTTP Request,200,OK,Thread-Group-random-10-60 1-52,text,true,,148,131,60,60,http://127.0.0.1:31113/fibo-random,2363,0,0
1686169165149,3234,HTTP Request,200,OK,Thread-Group-random-10-60 1-2,text,true,,148,131,60,60,http://127.0.0.1:31113/fibo-random,3234,0,1
1686169166035,2377,HTTP Request,200,OK,Thread-Group-random-10-60 1-54,text,true,,148,131,60,60,http://127.0.0.1:31113/fibo-random,2377,0,1
1686169165541,2877,HTTP Request,200,OK,Thread-Group-random-10-60 1-25,text,true,,148,131,60,60,http://127.0.0.1:31113/fibo-random,2876,0,1
1686169167475,948,HTTP Request,200,OK,Thread-Group-random-10-60 1-47,text,true,,148,131,60,60,http://127.0.0.1:31113/fibo-random,948,0,0
1686169165967,2462,HTTP Request,200,OK,Thread-Group-random-10-60 1-50,text,true,,148,131,60,60,http://127.0.0.1:31113/fibo-random,2461,0,1
