"Time","sum(kube_deployment_spec_replicas{namespace=""openfaas-fn""})"
2023-05-25 04:02:15,10
2023-05-25 04:02:30,19
2023-05-25 04:02:45,19
2023-05-25 04:03:00,19
2023-05-25 04:03:15,19
2023-05-25 04:03:30,40
2023-05-25 04:03:45,40
2023-05-25 04:04:00,40
2023-05-25 04:04:15,40
2023-05-25 04:04:30,45
2023-05-25 04:04:45,45
2023-05-25 04:05:00,45
2023-05-25 04:05:15,45
2023-05-25 04:05:30,46
2023-05-25 04:05:45,46
2023-05-25 04:06:00,46
2023-05-25 04:06:15,46
2023-05-25 04:06:30,46
2023-05-25 04:06:45,46
2023-05-25 04:07:00,46
2023-05-25 04:07:15,46
2023-05-25 04:07:30,46
2023-05-25 04:07:45,46
2023-05-25 04:08:00,46
2023-05-25 04:08:15,46
2023-05-25 04:08:30,46
2023-05-25 04:08:45,46
2023-05-25 04:09:00,46
2023-05-25 04:09:15,46
2023-05-25 04:09:30,47
2023-05-25 04:09:45,47
2023-05-25 04:10:00,47
2023-05-25 04:10:15,47
2023-05-25 04:10:30,48
2023-05-25 04:10:45,48
2023-05-25 04:11:00,48
2023-05-25 04:11:15,48
2023-05-25 04:11:30,48
2023-05-25 04:11:45,48
2023-05-25 04:12:00,48
2023-05-25 04:12:15,48
2023-05-25 04:12:30,50
2023-05-25 04:12:45,50
2023-05-25 04:13:00,50
2023-05-25 04:13:15,50
2023-05-25 04:13:30,50
2023-05-25 04:13:45,50
2023-05-25 04:14:00,50
2023-05-25 04:14:15,50
2023-05-25 04:14:30,50
2023-05-25 04:14:45,50
2023-05-25 04:15:00,50
2023-05-25 04:15:15,50
2023-05-25 04:15:30,50
2023-05-25 04:15:45,50
2023-05-25 04:16:00,50
2023-05-25 04:16:15,50
2023-05-25 04:16:30,50
2023-05-25 04:16:45,50
2023-05-25 04:17:00,50
2023-05-25 04:17:15,50
2023-05-25 04:17:30,50
2023-05-25 04:17:45,50
2023-05-25 04:18:00,50
2023-05-25 04:18:15,50
2023-05-25 04:18:30,50
2023-05-25 04:18:45,50
2023-05-25 04:19:00,50
2023-05-25 04:19:15,50
2023-05-25 04:19:30,50
2023-05-25 04:19:45,50
2023-05-25 04:20:00,50
2023-05-25 04:20:15,50
2023-05-25 04:20:30,50
2023-05-25 04:20:45,50
2023-05-25 04:21:00,50
2023-05-25 04:21:15,50
2023-05-25 04:21:30,50
2023-05-25 04:21:45,50
2023-05-25 04:22:00,50
2023-05-25 04:22:15,50

