timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685400016048,559,HTTP Request,200,OK,Thread-Group-h-30 1-1,text,true,,149,138,18,18,http://127.0.0.1:31113/fibo-heterogeneous,559,0,1
1685400016140,674,HTTP Request,200,OK,Thread-Group-h-30 1-4,text,true,,149,138,24,24,http://127.0.0.1:31113/fibo-heterogeneous,674,0,0
1685400016344,605,HTTP Request,200,OK,Thread-Group-h-30 1-10,text,true,,147,138,28,28,http://127.0.0.1:31113/fibo-heterogeneous,604,0,1
1685400016073,1172,HTTP Request,200,OK,Thread-Group-h-30 1-2,text,true,,149,138,30,30,http://127.0.0.1:31113/fibo-heterogeneous,1172,0,1
1685400016406,907,HTTP Request,200,OK,Thread-Group-h-30 1-12,text,true,,149,138,30,30,http://127.0.0.1:31113/fibo-heterogeneous,907,0,2
1685400016438,899,HTTP Request,200,OK,Thread-Group-h-30 1-13,text,true,,149,138,30,30,http://127.0.0.1:31113/fibo-heterogeneous,898,0,1
1685400016536,804,HTTP Request,200,OK,Thread-Group-h-30 1-16,text,true,,149,138,30,30,http://127.0.0.1:31113/fibo-heterogeneous,804,0,0
1685400016274,1136,HTTP Request,200,OK,Thread-Group-h-30 1-8,text,true,,149,138,30,30,http://127.0.0.1:31113/fibo-heterogeneous,1136,0,1
1685400016638,815,HTTP Request,200,OK,Thread-Group-h-30 1-19,text,true,,147,138,30,30,http://127.0.0.1:31113/fibo-heterogeneous,815,0,2
1685400016106,1374,HTTP Request,200,OK,Thread-Group-h-30 1-3,text,true,,149,138,30,30,http://127.0.0.1:31113/fibo-heterogeneous,1374,0,1
1685400016504,1061,HTTP Request,200,OK,Thread-Group-h-30 1-15,text,true,,149,138,30,30,http://127.0.0.1:31113/fibo-heterogeneous,1061,0,1
1685400016173,1462,HTTP Request,200,OK,Thread-Group-h-30 1-5,text,true,,149,138,30,30,http://127.0.0.1:31113/fibo-heterogeneous,1462,0,1
1685400016937,757,HTTP Request,200,OK,Thread-Group-h-30 1-28,text,true,,147,138,30,30,http://127.0.0.1:31113/fibo-heterogeneous,757,0,0
