"Time","sum(kube_deployment_spec_replicas{namespace=""openfaas-fn""})"
2023-05-25 01:50:15,12
2023-05-25 01:50:30,46
2023-05-25 01:50:45,46
2023-05-25 01:51:00,46
2023-05-25 01:51:15,46
2023-05-25 01:51:30,48
2023-05-25 01:51:45,48
2023-05-25 01:52:00,48
2023-05-25 01:52:15,48
2023-05-25 01:52:30,49
2023-05-25 01:52:45,49
2023-05-25 01:53:00,49
2023-05-25 01:53:15,49
2023-05-25 01:53:30,50
2023-05-25 01:53:45,50
2023-05-25 01:54:00,50
2023-05-25 01:54:15,50
2023-05-25 01:54:30,50
2023-05-25 01:54:45,50
2023-05-25 01:55:00,50
2023-05-25 01:55:15,50
2023-05-25 01:55:30,50
2023-05-25 01:55:45,50
2023-05-25 01:56:00,50
2023-05-25 01:56:15,50
2023-05-25 01:56:30,50
2023-05-25 01:56:45,50
2023-05-25 01:57:00,50
2023-05-25 01:57:15,50
2023-05-25 01:57:30,50
2023-05-25 01:57:45,50
2023-05-25 01:58:00,50
2023-05-25 01:58:15,50
2023-05-25 01:58:30,50
2023-05-25 01:58:45,50
2023-05-25 01:59:00,50
2023-05-25 01:59:15,50
2023-05-25 01:59:30,50
2023-05-25 01:59:45,50
2023-05-25 02:00:00,50
2023-05-25 02:00:15,50
2023-05-25 02:00:30,50
2023-05-25 02:00:45,50
2023-05-25 02:01:00,50
2023-05-25 02:01:15,50
2023-05-25 02:01:30,49
2023-05-25 02:01:45,49
2023-05-25 02:02:00,49
2023-05-25 02:02:15,49
2023-05-25 02:02:30,49
2023-05-25 02:02:45,49
2023-05-25 02:03:00,49
2023-05-25 02:03:15,49
2023-05-25 02:03:30,49
2023-05-25 02:03:45,49
2023-05-25 02:04:00,49
2023-05-25 02:04:15,49
2023-05-25 02:04:30,49
2023-05-25 02:04:45,49
2023-05-25 02:05:00,49
2023-05-25 02:05:15,49
2023-05-25 02:05:30,49
2023-05-25 02:05:45,49
2023-05-25 02:06:00,49
2023-05-25 02:06:15,49
2023-05-25 02:06:30,49
2023-05-25 02:06:45,49
2023-05-25 02:07:00,49
2023-05-25 02:07:15,49
2023-05-25 02:07:30,48
2023-05-25 02:07:45,48
2023-05-25 02:08:00,48
2023-05-25 02:08:15,48
2023-05-25 02:08:30,49
2023-05-25 02:08:45,49

