"Time","sum(kube_deployment_spec_replicas{namespace=""openfaas-fn""})"
2023-05-27 23:28:15,10
2023-05-27 23:28:30,10
2023-05-27 23:28:45,10
2023-05-27 23:29:00,47
2023-05-27 23:29:15,47
2023-05-27 23:29:30,47
2023-05-27 23:29:45,50
2023-05-27 23:30:00,50
2023-05-27 23:30:15,50
2023-05-27 23:30:30,50
2023-05-27 23:30:45,50
2023-05-27 23:31:00,50
2023-05-27 23:31:15,50
2023-05-27 23:31:30,50
2023-05-27 23:31:45,50
2023-05-27 23:32:00,50
2023-05-27 23:32:15,50
2023-05-27 23:32:30,50
2023-05-27 23:32:45,50
2023-05-27 23:33:00,50
2023-05-27 23:33:15,50
2023-05-27 23:33:30,50
2023-05-27 23:33:45,50
2023-05-27 23:34:00,50
2023-05-27 23:34:15,50
2023-05-27 23:34:30,50
2023-05-27 23:34:45,50
2023-05-27 23:35:00,50
2023-05-27 23:35:15,50
2023-05-27 23:35:30,50
2023-05-27 23:35:45,50
2023-05-27 23:36:00,50
2023-05-27 23:36:15,50
2023-05-27 23:36:30,50
2023-05-27 23:36:45,50
2023-05-27 23:37:00,50
2023-05-27 23:37:15,50
2023-05-27 23:37:30,50
2023-05-27 23:37:45,50
2023-05-27 23:38:00,50
2023-05-27 23:38:15,50
2023-05-27 23:38:30,50
2023-05-27 23:38:45,50
2023-05-27 23:39:00,50
2023-05-27 23:39:15,50
2023-05-27 23:39:30,50
2023-05-27 23:39:45,50
2023-05-27 23:40:00,50
2023-05-27 23:40:15,50
2023-05-27 23:40:30,50
2023-05-27 23:40:45,50
2023-05-27 23:41:00,50
2023-05-27 23:41:15,50
2023-05-27 23:41:30,50
2023-05-27 23:41:45,50
2023-05-27 23:42:00,50
2023-05-27 23:42:15,50
2023-05-27 23:42:30,50
2023-05-27 23:42:45,50
2023-05-27 23:43:00,50
2023-05-27 23:43:15,50
2023-05-27 23:43:30,50
2023-05-27 23:43:45,50
2023-05-27 23:44:00,50
2023-05-27 23:44:15,50
2023-05-27 23:44:30,50
2023-05-27 23:44:45,50
2023-05-27 23:45:00,50
2023-05-27 23:45:15,50
2023-05-27 23:45:30,50
2023-05-27 23:45:45,50
2023-05-27 23:46:00,50
2023-05-27 23:46:15,50
2023-05-27 23:46:30,50
2023-05-27 23:46:45,50
2023-05-27 23:47:00,50
2023-05-27 23:47:15,50
2023-05-27 23:47:30,50

