"Time","sum(kube_deployment_spec_replicas{namespace=""openfaas-fn""})"
2023-05-27 18:37:00,12
2023-05-27 18:37:15,12
2023-05-27 18:37:30,40
2023-05-27 18:37:45,40
2023-05-27 18:38:00,40
2023-05-27 18:38:15,40
2023-05-27 18:38:30,47
2023-05-27 18:38:45,47
2023-05-27 18:39:00,47
2023-05-27 18:39:15,47
2023-05-27 18:39:30,47
2023-05-27 18:39:45,47
2023-05-27 18:40:00,47
2023-05-27 18:40:15,47
2023-05-27 18:40:30,44
2023-05-27 18:40:45,44
2023-05-27 18:41:00,44
2023-05-27 18:41:15,44
2023-05-27 18:41:30,44
2023-05-27 18:41:45,44
2023-05-27 18:42:00,44
2023-05-27 18:42:15,44
2023-05-27 18:42:30,44
2023-05-27 18:42:45,44
2023-05-27 18:43:00,44
2023-05-27 18:43:15,44
2023-05-27 18:43:30,44
2023-05-27 18:43:45,44
2023-05-27 18:44:00,44
2023-05-27 18:44:15,44
2023-05-27 18:44:30,42
2023-05-27 18:44:45,42
2023-05-27 18:45:00,42
2023-05-27 18:45:15,42
2023-05-27 18:45:30,43
2023-05-27 18:45:45,43
2023-05-27 18:46:00,43
2023-05-27 18:46:15,43
2023-05-27 18:46:30,43
2023-05-27 18:46:45,43
2023-05-27 18:47:00,43
2023-05-27 18:47:15,43
2023-05-27 18:47:30,43
2023-05-27 18:47:45,43
2023-05-27 18:48:00,43
2023-05-27 18:48:15,43
2023-05-27 18:48:30,43
2023-05-27 18:48:45,43
2023-05-27 18:49:00,43
2023-05-27 18:49:15,43
2023-05-27 18:49:30,43
2023-05-27 18:49:45,43
2023-05-27 18:50:00,43
2023-05-27 18:50:15,43
2023-05-27 18:50:30,43
2023-05-27 18:50:45,43
2023-05-27 18:51:00,43
2023-05-27 18:51:15,43
2023-05-27 18:51:30,42
2023-05-27 18:51:45,42
2023-05-27 18:52:00,42
2023-05-27 18:52:15,42
2023-05-27 18:52:30,43
2023-05-27 18:52:45,43
2023-05-27 18:53:00,43
2023-05-27 18:53:15,43
2023-05-27 18:53:30,43
2023-05-27 18:53:45,43
2023-05-27 18:54:00,43
2023-05-27 18:54:15,43
2023-05-27 18:54:30,43
2023-05-27 18:54:45,43
2023-05-27 18:55:00,43
2023-05-27 18:55:15,43
2023-05-27 18:55:30,45
2023-05-27 18:55:45,45
2023-05-27 18:56:00,45
2023-05-27 18:56:15,45
2023-05-27 18:56:30,44
2023-05-27 18:56:45,44
2023-05-27 18:57:00,44
2023-05-27 18:57:15,44
2023-05-27 18:57:30,44
2023-05-27 18:57:45,44
2023-05-27 18:58:00,44
2023-05-27 18:58:15,44
2023-05-27 18:58:30,43
2023-05-27 18:58:45,43
2023-05-27 18:59:00,43

