"Time","sum(kube_deployment_spec_replicas{namespace=""openfaas-fn""})"
2023-05-27 19:03:00,12
2023-05-27 19:03:15,12
2023-05-27 19:03:30,38
2023-05-27 19:03:45,38
2023-05-27 19:04:00,38
2023-05-27 19:04:15,38
2023-05-27 19:04:30,43
2023-05-27 19:04:45,43
2023-05-27 19:05:00,43
2023-05-27 19:05:15,43
2023-05-27 19:05:30,43
2023-05-27 19:05:45,43
2023-05-27 19:06:00,43
2023-05-27 19:06:15,43
2023-05-27 19:06:30,43
2023-05-27 19:06:45,43
2023-05-27 19:07:00,43
2023-05-27 19:07:15,43
2023-05-27 19:07:30,43
2023-05-27 19:07:45,43
2023-05-27 19:08:00,43
2023-05-27 19:08:15,43
2023-05-27 19:08:30,43
2023-05-27 19:08:45,43
2023-05-27 19:09:00,43
2023-05-27 19:09:15,43
2023-05-27 19:09:30,43
2023-05-27 19:09:45,43
2023-05-27 19:10:00,43
2023-05-27 19:10:15,43
2023-05-27 19:10:30,44
2023-05-27 19:10:45,44
2023-05-27 19:11:00,44
2023-05-27 19:11:15,44
2023-05-27 19:11:30,43
2023-05-27 19:11:45,43
2023-05-27 19:12:00,43
2023-05-27 19:12:15,43
2023-05-27 19:12:30,44
2023-05-27 19:12:45,44
2023-05-27 19:13:00,44
2023-05-27 19:13:15,44
2023-05-27 19:13:30,44
2023-05-27 19:13:45,44
2023-05-27 19:14:00,44
2023-05-27 19:14:15,44
2023-05-27 19:14:30,41
2023-05-27 19:14:45,41
2023-05-27 19:15:00,41
2023-05-27 19:15:15,41
2023-05-27 19:15:30,42
2023-05-27 19:15:45,42
2023-05-27 19:16:00,42
2023-05-27 19:16:15,42
2023-05-27 19:16:30,43
2023-05-27 19:16:45,43
2023-05-27 19:17:00,43
2023-05-27 19:17:15,43
2023-05-27 19:17:30,43
2023-05-27 19:17:45,43
2023-05-27 19:18:00,43
2023-05-27 19:18:15,43
2023-05-27 19:18:30,42
2023-05-27 19:18:45,42
2023-05-27 19:19:00,42
2023-05-27 19:19:15,42
2023-05-27 19:19:30,42
2023-05-27 19:19:45,42
2023-05-27 19:20:00,42
2023-05-27 19:20:15,42
2023-05-27 19:20:30,42
2023-05-27 19:20:45,42
2023-05-27 19:21:00,42
2023-05-27 19:21:15,42
2023-05-27 19:21:30,42
2023-05-27 19:21:45,42
2023-05-27 19:22:00,42
2023-05-27 19:22:15,42
2023-05-27 19:22:30,43
2023-05-27 19:22:45,43
2023-05-27 19:23:00,43
2023-05-27 19:23:15,43
2023-05-27 19:23:30,43
2023-05-27 19:23:45,43
2023-05-27 19:24:00,43

