"Time","sum(kube_deployment_spec_replicas{namespace=""openfaas-fn""})"
2023-05-27 16:17:30,12
2023-05-27 16:17:45,12
2023-05-27 16:18:00,12
2023-05-27 16:18:15,12
2023-05-27 16:18:30,53
2023-05-27 16:18:45,53
2023-05-27 16:19:00,53
2023-05-27 16:19:15,53
2023-05-27 16:19:30,53
2023-05-27 16:19:45,53
2023-05-27 16:20:00,53
2023-05-27 16:20:15,53
2023-05-27 16:20:30,53
2023-05-27 16:20:45,53
2023-05-27 16:21:00,53
2023-05-27 16:21:15,53
2023-05-27 16:21:30,50
2023-05-27 16:21:45,50
2023-05-27 16:22:00,50
2023-05-27 16:22:15,50
2023-05-27 16:22:30,50
2023-05-27 16:22:45,50
2023-05-27 16:23:00,50
2023-05-27 16:23:15,50
2023-05-27 16:23:30,50
2023-05-27 16:23:45,50
2023-05-27 16:24:00,50
2023-05-27 16:24:15,50
2023-05-27 16:24:30,50
2023-05-27 16:24:45,50
2023-05-27 16:25:00,50
2023-05-27 16:25:15,50
2023-05-27 16:25:30,50
2023-05-27 16:25:45,50
2023-05-27 16:26:00,50
2023-05-27 16:26:15,50
2023-05-27 16:26:30,50
2023-05-27 16:26:45,50
2023-05-27 16:27:00,50
2023-05-27 16:27:15,50
2023-05-27 16:27:30,50
2023-05-27 16:27:45,50
2023-05-27 16:28:00,50
2023-05-27 16:28:15,50
2023-05-27 16:28:30,50
2023-05-27 16:28:45,50
2023-05-27 16:29:00,50
2023-05-27 16:29:15,50
2023-05-27 16:29:30,50
2023-05-27 16:29:45,50
2023-05-27 16:30:00,50
2023-05-27 16:30:15,50
2023-05-27 16:30:30,50
2023-05-27 16:30:45,50
2023-05-27 16:31:00,50
2023-05-27 16:31:15,50
2023-05-27 16:31:30,50
2023-05-27 16:31:45,50
2023-05-27 16:32:00,50
2023-05-27 16:32:15,50
2023-05-27 16:32:30,50
2023-05-27 16:32:45,50
2023-05-27 16:33:00,50
2023-05-27 16:33:15,50
2023-05-27 16:33:30,50
2023-05-27 16:33:45,50
2023-05-27 16:34:00,50
2023-05-27 16:34:15,50
2023-05-27 16:34:30,51
2023-05-27 16:34:45,51
2023-05-27 16:35:00,51
2023-05-27 16:35:15,51
2023-05-27 16:35:30,50
2023-05-27 16:35:45,50
2023-05-27 16:36:00,50
2023-05-27 16:36:15,50

